Team,Team Score,Opponent,Opponent Score
SF Austin,79,TAM C. Christi,46
South Carolina,70,Tennessee,60
TCU,64,Texas,61
Texas A&M,92,LSU,62
Tulane,82,South Florida,67
Tulsa,81,Memphis,71
UMBC,84,Hartford,68
UNC Asheville,89,Longwood,68
VA Commonwealth,85,G Washington,55
Vermont,67,Binghamton,50
Wichita St,87,Loyola-Chicago,75
Winthrop,75,Presbyterian,52
Wyoming,95,Utah St,87
Arizona,91,Arizona St,75
Austin Peay,83,Edwardsville,81
Belmont,84,Morehead St,78
Bryant,77,Wagner,66
BYU,85,San Francisco,75
California,69,Washington,59
Cent Arkansas,89,Houston Bap,78
Chicago St,70,Utah Valley,61
Cincinnati,66,SMU,64
Col Charleston,53,James Madison,51
CS Bakersfield,88,UTRGV,81
CS Fullerton,87,Cal Poly SLO,74
CS Sacramento,88,Southern Utah,83
E Washington,92,Idaho St,85
Elon,96,Hofstra,80
FL Gulf Coast,78,Kennesaw,75
Georgia Tech,75,Clemson,63
Gonzaga,93,Loy Marymount,55
IL Chicago,59,Cleveland St,54
Iowa,83,Purdue,78
Jacksonville,82,NJIT,81
La Salle,87,Rhode Island,75
Lipscomb,94,Stetson,68
Long Island,60,Central Conn,49
Louisiana Tech,79,Charlotte,73
Missouri KC,84,Seattle,68
Montana,89,N Colorado,68
Mt St Mary's,77,F Dickinson,70
MTSU,69,Marshall,57
Murray St,83,E Illinois,72
New Mexico St,81,Grand Canyon,69
North Dakota,90,Montana St,85
North Florida,73,SC Upstate,65
Northeastern,92,Drexel,75
Northwestern,69,Rutgers,60
Northwestern LA,86,Nicholls St,81
Notre Dame,67,Miami FL,62
Old Dominion,54,Southern Miss,50
Oral Roberts,94,S Dakota St,88
Pacific,79,Pepperdine,74
Sacred Heart,87,St Francis NY,75
Sam Houston St,70,New Orleans,68
Santa Clara,59,San Diego,57
SE Louisiana,56,Abilene Chr,50
Siena,81,Quinnipiac,74
St Francis PA,77,Robert Morris,57
St Mary's CA,74,Portland,33
Stanford,84,Washington St,54
Tennessee St,63,E Kentucky,49
Towson,83,Delaware,56
UAB,72,WKU,54
UC Irvine,66,Santa Barbara,62
UC Riverside,61,UC Davis,55
UCLA,104,Colorado,89
UNC Greensboro,83,ETSU,79
UNC Wilmington,101,William & Mary,77
UT San Antonio,68,FL Atlantic,63
Utah,86,USC,64
UTEP,88,Florida Intl,87
Valparaiso,78,Youngstown St,62
VMI,79,W Carolina,78
Weber St,91,Idaho,66
WI Green Bay,78,Wright St,61
WI Milwaukee,68,N Kentucky,58
Wisconsin,89,Ohio St,66
C Michigan,96,Toledo,88
Detroit,93,Oakland,88
Manhattan,76,Rider,73
Princeton,97,Brown,66
Vermont,81,UMBC,72
Yale,68,Penn,60
Abilene Chr,67,Lamar,64
Akron,74,Miami OH,70
Alabama,81,LSU,66
Alabama St,57,Alabama A&M,55
Arkansas,92,Missouri,73
Arkansas St,77,Ark Little Rock,72
Army,53,American Univ,49
Austin Peay,92,E Illinois,84
Ball St,92,Buffalo,77
Baylor,77,Kansas St,68
Belmont,72,E Kentucky,59
Brown,82,Penn,70
Bucknell,83,Colgate,69
Butler,83,Xavier,78
California,58,Washington St,54
Canisius,91,Marist,58
Charlotte,82,Southern Miss,66
Chattanooga,70,Mercer,68
Coastal Car,85,Appalachian St,73
Col Charleston,77,William & Mary,67
Columbia,79,Cornell,75
Coppin St,75,NC A&T,73
CS Sacramento,74,Northern Arizona,62
Davidson,69,VA Commonwealth,63
Dayton,76,Duquesne,57
Denver,79,N Dakota St,55
Drexel,76,Delaware,60
E Michigan,53,Ohio,49
ETSU,75,W Carolina,52
F Dickinson,59,Central Conn,47
FL Gulf Coast,84,Lipscomb,80
Florida,80,Georgia,76
Fresno St,89,Boise St,80
Ga Southern,81,ULL,76
Gardner Webb,85,Longwood,79
Georgetown,72,Connecticut,69
Georgia St,73,ULM,65
Gonzaga,79,St Mary's CA,56
Grand Canyon,79,UTRGV,66
Hampton,85,Delaware St,77
Hawaii,114,Long Beach St,107
High Point,77,Presbyterian,44
Howard,74,MD E Shore,66
Idaho,77,Idaho St,62
IL Chicago,92,Youngstown St,89
Illinois St,76,Wichita St,62
Incarnate Word,82,Houston Bap,77
Indiana St,81,Bradley,71
IUPUI,91,Oral Roberts,85
Jacksonville St,74,Tennessee Tech,59
James Madison,60,Elon,59
Kansas,87,Oklahoma St,80
Kennesaw,84,Stetson,65
Kentucky,92,Auburn,72
Lehigh,68,Holy Cross,51
Liberty,71,Radford,64
Long Island,63,St Francis NY,58
Louisiana Tech,75,Old Dominion,63
Louisville,78,Duke,69
Loy Marymount,79,Portland,78
MA Lowell,71,Hartford,55
Marquette,83,DePaul,58
Maryland,62,Illinois,56
Memphis,62,South Florida,56
Miami FL,72,Pittsburgh,46
Michigan,91,Nebraska,85
Mississippi St,67,Texas A&M,59
Monmouth NJ,90,Niagara,83
Montana,76,North Dakota,70
Montana St,68,N Colorado,53
Morehead St,87,Tennessee St,85
MS Valley St,84,Alcorn St,77
Mt St Mary's,78,St Francis PA,72
MTSU,91,WKU,76
Murray St,67,Edwardsville,59
N Illinois,69,Bowling Green,52
Navy,88,Lafayette,51
NC Central,72,Norfolk St,57
NE Omaha,86,W Illinois,72
Nevada,89,Wyoming,74
New Hampshire,73,Binghamton,66
New Mexico,84,Colorado St,71
New Mexico St,63,CS Bakersfield,58
NJIT,84,North Florida,78
North Carolina,96,Florida St,83
Notre Dame,76,Virginia Tech,71
Oklahoma,84,Texas Tech,75
Oregon,85,Oregon St,43
Penn St,52,Minnesota,50
Portland St,88,Southern Utah,77
Prairie View,63,Jackson St,56
Princeton,66,Yale,58
Providence,65,Seton Hall,61
Quinnipiac,97,Iona,91
Rice,101,North Texas,79
Richmond,70,St Joseph's PA,66
S Carolina St,78,Bethune-Cookman,74
S Illinois,73,Evansville,61
Sacred Heart,112,Bryant,110
Sam Houston St,77,Northwestern LA,68
Samford,98,Citadel,90
San Diego,88,BYU,75
San Diego St,74,Utah St,55
San Francisco,72,Pacific,51
San Jose St,89,Air Force,85
Santa Barbara,58,Cal Poly SLO,53
Santa Clara,75,Pepperdine,61
Savannah St,93,Florida A&M,88
SC Upstate,73,Jacksonville,66
Seattle,65,Chicago St,50
SF Austin,80,Nicholls St,60
South Alabama,72,Texas St,67
South Carolina,67,Mississippi,56
South Dakota,66,IPFW,63
Southern Univ,76,Ark Pine Bluff,75
St Bonaventure,73,Fordham,53
St Louis,63,George Mason,56
Stanford,76,Washington,69
Stony Brook,74,Maine,54
Syracuse,76,Boston College,53
TAM C. Christi,88,Cent Arkansas,81
TCU,84,Iowa St,77
Tennessee,87,Vanderbilt,75
TN Martin,79,SE Missouri St,69
Towson,74,Northeastern,67
Troy,93,UT Arlington,71
Tulsa,70,Temple,68
TX Southern,76,Grambling,55
UAB,94,Marshall,78
UC Davis,71,CS Northridge,68
UC Irvine,87,CS Fullerton,67
UCF,77,Houston,70
UCLA,83,Utah,82
UNC Asheville,76,Charleston So,67
UNC Greensboro,91,VMI,82
UNC Wilmington,84,Hofstra,76
UT San Antonio,57,Florida Intl,55
Utah Valley,86,Missouri KC,76
UTEP,66,FL Atlantic,65
Valparaiso,78,Cleveland St,67
Villanova,70,St John's,57
Virginia,77,Clemson,73
W Michigan,92,Kent,88
Wagner,53,Robert Morris,50
Weber St,70,E Washington,67
West Virginia,74,Texas,72
Winthrop,72,Campbell,63
Wofford,67,Furman,58
Wright St,70,WI Milwaukee,67
Cincinnati,55,East Carolina,46
Georgia Tech,86,NC State,76
Indiana,76,Rutgers,57
La Salle,79,G Washington,69
Loyola-Chicago,77,Missouri St,71
Northern Iowa,79,Drake,60
Northwestern,89,Iowa,54
Ohio St,72,Michigan St,67
Rhode Island,79,Massachusetts,77
SE Louisiana,79,McNeese St,75
Siena,63,Fairfield,54
SMU,80,Tulane,64
St Peter's,71,Rider,65
USC,71,Colorado,68
Albany NY,77,UMBC,50
Alcorn St,82,Ark Pine Bluff,64
Bethune-Cookman,82,Florida A&M,76
Butler,88,Marquette,80
Cleveland St,76,Oakland,65
Coppin St,81,Howard,72
Creighton,72,Xavier,67
Detroit,87,Youngstown St,71
Ga Southern,62,ULM,60
Georgia St,101,ULL,86
Hartford,54,Maine,44
Harvard,70,Bryant,65
Kansas,76,Iowa St,72
Loyola MD,77,Boston Univ,69
Marist,93,Niagara,87
Monmouth NJ,76,Canisius,72
Morgan St,82,NC A&T,53
NC Central,64,Hampton,51
Norfolk St,75,Delaware St,70
North Carolina,85,Syracuse,68
Northern Arizona,83,Portland St,76
Prairie View,94,Grambling,82
Providence,74,Georgetown,56
Savannah St,86,S Carolina St,82
Southern Univ,87,MS Valley St,81
St John's,78,DePaul,68
Stony Brook,86,MA Lowell,75
Texas St,75,Troy,71
TX Southern,67,Jackson St,44
UT Arlington,89,South Alabama,83
Valparaiso,80,WI Green Bay,56
Vermont,71,New Hampshire,59
Villanova,76,Seton Hall,46
Akron,83,Ohio,68
Arkansas,62,Texas A&M,60
Ball St,98,C Michigan,83
Baylor,74,Texas,64
Buffalo,82,Kent,69
E Michigan,86,W Michigan,80
Georgia,76,Vanderbilt,68
IL Chicago,71,WI Milwaukee,57
Iona,82,Manhattan,67
Kentucky,88,Mississippi St,81
Mississippi,80,Tennessee,69
N Illinois,62,Miami OH,58
NC State,79,Pittsburgh,74
New Mexico,81,Boise St,70
Purdue,91,Illinois,68
San Diego St,64,UNLV,51
Siena,78,Rider,68
St Bonaventure,71,St Louis,52
St Peter's,69,Fairfield,55
Toledo,85,Bowling Green,73
UCF,86,South Florida,64
Wichita St,82,Evansville,65
Wisconsin,68,Michigan,64
Alabama,68,Missouri,56
American Univ,71,Lafayette,57
Auburn,78,LSU,74
Bucknell,76,Loyola MD,63
Cincinnati,81,Temple,74
Colgate,67,Boston Univ,58
Drake,88,S Illinois,84
Florida St,83,Notre Dame,80
Fordham,69,VA Commonwealth,67
Fresno St,78,Colorado St,57
G Washington,65,Duquesne,63
Hawaii,80,CS Northridge,77
Holy Cross,85,Army,76
Illinois St,69,Bradley,49
Indiana,78,Penn St,75
IUPUI,85,S Dakota St,83
Kansas St,96,Oklahoma St,88
Massachusetts,62,St Joseph's PA,57
McNeese St,82,Cent Arkansas,72
Missouri St,73,Indiana St,68
Navy,75,Lehigh,72
NE Omaha,97,Denver,88
Nevada,83,Air Force,76
Northern Iowa,72,Loyola-Chicago,69
Ohio St,67,Nebraska,66
Oklahoma,89,West Virginia,87
Oral Roberts,90,South Dakota,80
South Carolina,57,Florida,53
Texas Tech,75,TCU,69
Tulsa,89,Tulane,82
UC Irvine,70,Cal Poly SLO,48
UC Riverside,71,CS Fullerton,63
Utah,88,Washington St,47
Virginia,71,Boston College,54
Virginia Tech,62,Georgia Tech,61
Wake Forest,96,Miami FL,79
Washington,85,Colorado,83
Wyoming,80,San Jose St,70
Albany NY,84,Binghamton,65
Arizona,73,USC,66
Belmont,77,Jacksonville St,60
BYU,99,Pepperdine,70
Charleston So,73,Presbyterian,52
Dayton,75,Richmond,59
Delaware,69,Northeastern,62
E Washington,84,Northern Arizona,62
Elon,93,Drexel,73
F Dickinson,57,St Francis NY,40
Furman,75,ETSU,62
Gonzaga,88,Santa Clara,57
High Point,83,Campbell,78
Idaho,79,Southern Utah,67
Idaho St,73,N Colorado,69
La Salle,91,Davidson,83
Liberty,65,Gardner Webb,62
Lipscomb,112,Jacksonville,95
Long Beach St,81,Santa Barbara,76
Long Island,76,Wagner,69
Louisiana Tech,74,Rice,64
Louisville,92,Clemson,60
Maryland,84,Iowa,76
Memphis,70,Houston,67
Montana St,74,CS Sacramento,65
Morehead St,89,Austin Peay,82
Mt St Mary's,86,Sacred Heart,75
MTSU,65,Florida Intl,52
Murray St,86,E Kentucky,79
N Dakota St,89,IPFW,83
New Hampshire,74,Maine,63
New Orleans,72,Houston Bap,64
Nicholls St,62,Abilene Chr,59
North Dakota,83,Weber St,77
North Florida,86,Kennesaw,84
Oregon,86,California,63
Portland St,88,Montana,79
Radford,72,Longwood,60
Robert Morris,74,Central Conn,67
Sam Houston St,87,Lamar,65
San Diego,69,Loy Marymount,62
San Francisco,75,Portland,50
SC Upstate,62,FL Gulf Coast,60
SE Missouri St,79,Edwardsville,76
SF Austin,61,TAM C. Christi,58
SMU,69,Connecticut,49
Southern Miss,75,North Texas,65
St Francis PA,75,Bryant,61
St Mary's CA,62,Pacific,50
St Peter's,77,Siena,65
Stanford,62,Oregon St,46
Stetson,82,NJIT,76
Stony Brook,80,Hartford,64
Tennessee Tech,80,Tennessee St,74
TN Martin,82,E Illinois,71
Towson,86,Hofstra,80
UAB,80,FL Atlantic,78
UCLA,102,Arizona St,80
UNC Greensboro,68,Mercer,66
UNC Wilmington,65,Col Charleston,59
Vermont,81,MA Lowell,67
W Carolina,100,Citadel,95
William & Mary,73,James Madison,72
Winthrop,76,UNC Asheville,73
Wofford,88,VMI,70
Akron,70,E Michigan,63
Iona,96,Fairfield,89
Monmouth NJ,82,Manhattan,71
Oakland,79,N Kentucky,70
Quinnipiac,95,Canisius,90
WI Milwaukee,63,Cleveland St,62
Wright St,106,Detroit,88
Yale,75,Brown,74
Youngstown St,92,WI Green Bay,89
Alcorn St,78,Alabama St,71
Arizona,96,UCLA,85
Ark Little Rock,73,South Alabama,56
Arkansas,99,LSU,86
Arkansas St,82,Troy,80
Auburn,84,Alabama,64
Austin Peay,84,Murray St,81
Baylor,62,TCU,53
Belmont,82,Tennessee Tech,70
Boise St,75,San Jose St,65
Bowling Green,79,Ball St,74
Bryant,59,Robert Morris,56
Bucknell,70,Boston Univ,59
Buffalo,66,W Michigan,54
Butler,70,DePaul,69
BYU,62,Pacific,47
C Michigan,101,Miami OH,92
California,69,Oregon St,58
Central Conn,84,St Francis PA,83
Charleston So,76,Longwood,61
Charlotte,74,Old Dominion,72
Chattanooga,82,Samford,78
Cincinnati,78,Tulane,61
Col Charleston,73,James Madison,60
Colgate,52,Loyola MD,49
Colorado St,64,Utah St,56
Cornell,67,Columbia,62
CS Bakersfield,68,Utah Valley,65
CS Sacramento,92,Montana,83
Denver,78,IUPUI,74
Duke,70,Miami FL,58
E Washington,83,Southern Utah,68
Elon,71,William & Mary,62
F Dickinson,83,Long Island,66
FL Gulf Coast,84,NJIT,71
Florida Intl,94,UAB,85
Florida St,73,Louisville,68
Fordham,71,Massachusetts,68
Fresno St,81,Nevada,76
Furman,89,VMI,72
Ga Southern,92,Appalachian St,88
Gardner Webb,78,Presbyterian,61
Georgia St,76,Coastal Car,56
Gonzaga,73,Portland,52
Grambling,72,Jackson St,57
Grand Canyon,61,Seattle,59
Harvard,82,Dartmouth,68
High Point,61,Radford,58
Hofstra,78,Northeastern,73
Howard,78,NC A&T,63
Idaho,65,Northern Arizona,49
Illinois St,72,Drake,58
Incarnate Word,70,SF Austin,68
Indiana,82,Michigan St,75
Iowa St,92,Oklahoma,87
Jacksonville St,86,Tennessee St,79
Kansas,79,Texas,67
Kansas St,79,West Virginia,75
Kennesaw,81,Jacksonville,71
Kent,85,Toledo,61
Kentucky,85,South Carolina,69
Lamar,87,Nicholls St,76
Lehigh,75,Lafayette,68
Long Beach St,98,Cal Poly SLO,92
Louisiana Tech,81,North Texas,57
Loyola-Chicago,67,Evansville,61
Marquette,102,Creighton,94
Marshall,94,WKU,80
MD E Shore,82,Bethune-Cookman,79
Mercer,70,W Carolina,50
Michigan,66,Illinois,57
Mississippi,75,Missouri,71
Missouri St,76,Bradley,62
Montana St,71,Portland St,65
Morehead St,80,E Kentucky,54
Mt St Mary's,55,St Francis NY,47
MTSU,86,FL Atlantic,57
N Dakota St,89,W Illinois,57
Navy,96,Army,80
New Mexico,78,Wyoming,71
New Mexico St,94,Missouri KC,71
New Orleans,81,Cent Arkansas,63
Niagara,57,St Peter's,55
Norfolk St,79,Hampton,62
North Carolina,90,Boston College,82
North Dakota,89,Idaho St,64
North Florida,90,Lipscomb,84
Northern Iowa,58,S Illinois,57
Northwestern LA,78,McNeese St,65
Notre Dame,84,Syracuse,66
Ohio,78,N Illinois,69
Oklahoma St,83,Texas Tech,64
Oral Roberts,103,NE Omaha,86
Oregon,69,Stanford,52
Prairie View,87,MS Valley St,72
Purdue,77,Penn St,52
Rhode Island,90,Duquesne,69
Rice,61,Southern Miss,58
Rider,84,Marist,66
Rutgers,65,Nebraska,64
S Carolina St,74,Delaware St,64
S Dakota St,77,IPFW,67
Sam Houston St,76,TAM C. Christi,62
San Francisco,60,San Diego,43
Santa Clara,64,Loy Marymount,63
Savannah St,74,Morgan St,61
SC Upstate,97,Stetson,86
SE Louisiana,83,Houston Bap,71
SE Missouri St,83,E Illinois,71
SMU,85,Houston,64
Southern Univ,53,Alabama A&M,52
St Joseph's PA,78,Penn,71
St Mary's CA,85,Pepperdine,65
Tennessee,91,Mississippi St,74
Texas A&M,63,Georgia,62
TN Martin,75,Edwardsville,67
Towson,75,Delaware,58
Tulsa,79,South Florida,67
UTRGV,85,Chicago St,77
TX Southern,70,Ark Pine Bluff,63
UC Davis,76,Hawaii,70
UC Irvine,105,CS Northridge,73
UC Riverside,65,Santa Barbara,55
ULL,79,Texas St,73
UNC Asheville,72,Campbell,56
UNC Greensboro,81,Citadel,72
UNC Wilmington,87,Drexel,74
UNLV,87,Air Force,85
UT Arlington,71,ULM,55
Utah,94,Washington,72
UTEP,59,UT San Antonio,39
Vanderbilt,68,Florida,66
Villanova,78,Providence,68
Virginia,62,Georgia Tech,49
Wagner,67,Sacred Heart,62
Wake Forest,93,NC State,88
Washington St,91,Colorado,89
Weber St,74,N Colorado,69
Wichita St,84,Indiana St,58
Winthrop,61,Liberty,48
Wisconsin,78,Minnesota,76
Albany NY,81,Maine,63
Binghamton,71,Stony Brook,67
Connecticut,72,East Carolina,65
Dayton,67,St Louis,46
ETSU,79,Wofford,72
George Mason,82,Richmond,77
Memphis,70,UCF,65
Monmouth NJ,91,Fairfield,49
N Kentucky,101,Detroit,87
New Hampshire,81,Hartford,56
Northwestern,74,Ohio St,72
Seton Hall,86,St John's,73
Siena,81,Manhattan,68
UMBC,102,MA Lowell,86
USC,82,Arizona St,79
VA Commonwealth,90,La Salle,52
Valparaiso,96,IL Chicago,65
Virginia Tech,82,Clemson,81
WI Milwaukee,94,Youngstown St,85
Wright St,88,Oakland,67
Xavier,86,Georgetown,75
Alabama St,79,Southern Univ,65
Alcorn St,81,Alabama A&M,70
Ark Pine Bluff,71,Prairie View,68
Arkansas St,74,South Alabama,62
Ga Southern,91,Coastal Car,80
Georgia St,83,Appalachian St,72
Gonzaga,83,Portland,64
Holy Cross,63,American Univ,55
Iona,84,Quinnipiac,74
MD E Shore,86,Florida A&M,79
Morgan St,77,S Carolina St,75
MS Valley St,103,TX Southern,89
NC Central,74,Howard,39
NC State,84,Duke,82
Niagara,91,Canisius,84
Norfolk St,74,Coppin St,64
Oklahoma St,89,TCU,76
Savannah St,94,Delaware St,79
St Peter's,56,Rider,51
Texas,84,Oklahoma,83
Texas St,63,ULM,57
Troy,78,Ark Little Rock,69
UT Arlington,108,ULL,71
WI Green Bay,83,Cleveland St,73
Air Force,60,San Diego St,57
Akron,90,W Michigan,80
Arkansas,71,Vanderbilt,70
Ball St,88,E Michigan,80
C Michigan,82,Bowling Green,76
Davidson,74,Duquesne,60
Drake,72,Missouri St,71
Houston,65,Tulane,51
Iowa St,70,Kansas St,65
Kent,73,N Illinois,66
Louisville,106,Pittsburgh,51
Marquette,74,Villanova,72
Maryland,67,Rutgers,55
Miami OH,75,Buffalo,74
New Mexico,74,Utah St,61
Purdue,84,Michigan St,73
South Carolina,98,Auburn,69
St Bonaventure,67,St Joseph's PA,63
Syracuse,81,Wake Forest,76
Tennessee,82,Kentucky,80
Toledo,79,Ohio,76
Virginia,71,Notre Dame,54
West Virginia,85,Kansas,69
Wichita St,87,S Illinois,45
Wisconsin,82,Penn St,55
Alabama,80,Georgia,60
Arizona St,86,Washington,75
Baylor,65,Texas Tech,61
Belmont,77,E Illinois,64
Binghamton,76,Hartford,55
Boston Univ,90,Army,89
Bucknell,78,Lafayette,55
Butler,61,Seton Hall,54
Colorado St,81,San Jose St,72
Connecticut,81,South Florida,60
CS Northridge,78,Santa Barbara,57
Denver,91,S Dakota St,82
East Carolina,69,Tulsa,66
ETSU,96,Samford,86
FL Gulf Coast,86,North Florida,82
Florida,106,LSU,71
Furman,85,W Carolina,37
G Washington,87,George Mason,68
Georgetown,71,Creighton,51
Georgia Tech,78,Florida St,56
Illinois,76,Iowa,64
Illinois St,71,Indiana St,66
IPFW,103,IUPUI,73
Jacksonville,103,Stetson,92
Kennesaw,71,NJIT,65
Lehigh,76,Colgate,62
Lipscomb,84,SC Upstate,77
Loyola MD,65,Holy Cross,62
Loyola-Chicago,70,Bradley,50
Miami FL,78,Boston College,77
Mississippi St,89,Missouri,74
N Dakota St,81,Oral Roberts,71
Navy,71,American Univ,53
Nevada,76,Boise St,57
New Hampshire,80,MA Lowell,71
Northern Iowa,61,Evansville,54
Northwestern LA,85,SE Louisiana,71
Ohio St,78,Minnesota,72
Penn,77,La Salle,74
Richmond,73,Rhode Island,62
S Carolina St,68,Hampton,66
SF Austin,78,Cent Arkansas,76
SMU,65,UCF,60
South Dakota,62,W Illinois,55
St John's,91,Providence,86
St Louis,74,Massachusetts,70
Stony Brook,83,UMBC,73
TAM C. Christi,69,Lamar,66
Temple,77,Memphis,66
Tennessee St,76,Edwardsville,56
Texas A&M,80,Mississippi,76
UC Riverside,70,Hawaii,64
USC,84,UCLA,76
Vermont,60,Albany NY,49
VMI,80,Chattanooga,64
Weber St,85,Idaho St,73
Wofford,93,UNC Greensboro,74
Wyoming,66,UNLV,65
Arizona,79,Washington St,62
Bryant,65,Central Conn,54
Cal Poly SLO,79,UC Irvine,66
Campbell,78,Radford,61
Charlotte,82,North Texas,81
Cincinnati,86,Xavier,78
Colorado,85,Oregon St,78
CS Bakersfield,75,Chicago St,59
Drexel,81,Hofstra,80
E Kentucky,57,Jacksonville St,52
E Washington,72,Montana,60
Elon,51,Northeastern,49
F Dickinson,79,St Francis NY,73
FL Atlantic,83,Florida Intl,65
Gonzaga,79,San Diego,43
High Point,72,Charleston So,69
Houston Bap,83,Nicholls St,80
Incarnate Word,82,Abilene Chr,79
Liberty,93,Longwood,62
Long Beach St,76,CS Fullerton,65
Long Island,60,Sacred Heart,57
Loy Marymount,79,Pacific,73
Manhattan,70,Niagara,69
Marshall,92,UT San Antonio,71
Michigan,90,Indiana,60
Missouri KC,83,Grand Canyon,77
Montana St,94,Idaho,91
Mt St Mary's,48,Robert Morris,47
MTSU,72,Southern Miss,56
New Mexico St,71,Seattle,56
New Orleans,75,McNeese St,56
North Carolina,91,Virginia Tech,72
North Dakota,91,Southern Utah,89
Northern Arizona,63,N Colorado,50
Northwestern,73,Nebraska,61
Old Dominion,80,Rice,72
Oregon,73,Utah,67
Pepperdine,78,Portland,60
Santa Clara,76,BYU,68
SE Missouri St,75,Murray St,74
St Francis PA,72,Wagner,67
St Mary's CA,66,San Francisco,46
St Peter's,81,Marist,65
Tennessee Tech,76,Morehead St,73
TN Martin,85,Austin Peay,79
Towson,83,Col Charleston,77
UAB,79,Louisiana Tech,70
UNC Asheville,73,Presbyterian,47
UNC Wilmington,87,James Madison,76
Utah Valley,92,UTRGV,81
WKU,65,UTEP,62
William & Mary,82,Delaware,58
Winthrop,72,Gardner Webb,70
Columbia,66,Dartmouth,54
Harvard,77,Cornell,71
Iona,77,Siena,66
Monmouth NJ,95,Quinnipiac,76
N Kentucky,79,IL Chicago,62
VA Commonwealth,73,Dayton,68
Valparaiso,70,Wright St,55
Weber St,96,Idaho St,74
WI Green Bay,80,Oakland,72
WI Milwaukee,73,Detroit,69
Yale,85,Brown,75
Akron,91,Buffalo,90
Alabama,71,Mississippi St,62
Albany NY,74,Hartford,61
Alcorn St,74,Southern Univ,64
Arkansas St,73,ULM,63
Auburn,88,TCU,80
Ball St,84,W Michigan,78
Baylor,78,Mississippi,75
Belmont,93,Tennessee St,76
Boise St,80,Wyoming,65
Bryant,73,F Dickinson,72
Bucknell,96,Army,75
BYU,85,Loy Marymount,77
C Michigan,105,Kent,98
Canisius,78,Manhattan,64
Central Conn,61,Long Island,52
Clemson,67,Pittsburgh,60
Col Charleston,90,Drexel,76
Colorado,74,Oregon,65
Colorado St,78,San Diego St,77
Columbia,65,Harvard,62
Connecticut,78,Tulane,68
Cornell,75,Dartmouth,62
Creighton,83,DePaul,66
CS Bakersfield,74,Missouri KC,63
CS Fullerton,81,Cal Poly SLO,71
CS Northridge,63,UC Riverside,59
CS Sacramento,80,Portland St,77
Davidson,84,Fordham,66
Delaware,66,James Madison,61
Duke,85,Wake Forest,83
E Illinois,75,Edwardsville,60
E Kentucky,79,Tennessee Tech,66
E Michigan,74,Miami OH,57
Elon,84,Hofstra,70
ETSU,76,Chattanooga,71
Fairfield,72,Marist,62
FL Gulf Coast,78,Jacksonville,56
Florida,84,Oklahoma,52
Florida A&M,81,Delaware St,68
Furman,73,UNC Greensboro,67
G Washington,63,St Louis,55
Gardner Webb,85,Charleston So,76
George Mason,76,Massachusetts,74
Georgetown,85,Butler,81
Georgia,59,Texas,57
Georgia St,78,Troy,72
Georgia Tech,62,Notre Dame,60
Gonzaga,96,Pepperdine,49
Grambling,61,Ark Pine Bluff,53
Grand Canyon,85,Chicago St,77
Hawaii,78,Santa Barbara,56
High Point,83,Winthrop,80
Houston,79,Temple,66
Idaho,85,Montana,77
Incarnate Word,81,Cent Arkansas,80
Iowa,85,Ohio St,72
IPFW,87,Oral Roberts,83
Jackson St,83,MS Valley St,68
Kansas,79,Kentucky,73
Lamar,85,Northwestern LA,64
Liberty,72,Campbell,40
Lipscomb,66,NJIT,62
Loyola MD,70,Lafayette,62
Loyola-Chicago,81,Indiana St,66
Maryland,85,Minnesota,78
MD E Shore,92,S Carolina St,69
Memphis,57,East Carolina,50
Mercer,82,Citadel,66
Miami FL,77,North Carolina,62
Montana St,91,E Washington,90
Morehead St,72,Jacksonville St,69
Morgan St,76,Coppin St,74
Mt St Mary's,67,Sacred Heart,53
MTSU,71,Louisiana Tech,61
Murray St,94,TN Martin,86
N Colorado,89,Southern Utah,71
N Illinois,74,Toledo,72
Navy,60,Holy Cross,47
NC Central,82,NC A&T,59
Nevada,82,New Mexico,65
New Mexico St,74,Utah Valley,69
Niagara,80,Rider,67
Nicholls St,78,McNeese St,74
Norfolk St,73,Bethune-Cookman,66
Northeastern,69,Towson,62
Northern Arizona,68,North Dakota,67
Northern Iowa,71,Drake,63
Ohio,96,Bowling Green,72
Oklahoma St,99,Arkansas,71
Old Dominion,73,North Texas,67
Penn St,71,Illinois,67
Prairie View,70,Alabama A&M,65
Presbyterian,71,Longwood,62
Providence,79,Marquette,78
Rhode Island,71,St Bonaventure,59
Rice,84,Charlotte,67
Richmond,101,Duquesne,90
S Dakota St,88,NE Omaha,84
S Illinois,85,Missouri St,84
Sam Houston St,71,SE Louisiana,69
Samford,69,VMI,67
San Diego,68,Portland,52
San Francisco,81,Pacific,60
San Jose St,76,UNLV,72
Savannah St,73,Howard,70
SC Upstate,79,Kennesaw,73
SE Missouri St,82,Austin Peay,71
Seattle,96,UTRGV,84
SF Austin,71,New Orleans,61
South Alabama,78,Ga Southern,66
South Carolina,63,Missouri,53
South Dakota,88,Denver,83
St Francis PA,89,Robert Morris,83
St Joseph's PA,73,La Salle,72
St Mary's CA,72,Santa Clara,59
Stetson,88,North Florida,74
Syracuse,82,Florida St,72
TAM C. Christi,72,Abilene Chr,60
Tennessee,70,Kansas St,58
Texas St,52,Coastal Car,50
Texas Tech,77,LSU,64
Tulsa,77,UCF,66
TX Southern,70,Alabama St,68
UAB,87,Southern Miss,43
UC Davis,74,UC Irvine,65
